A1C,DFC,IPC,ITC,M1C,MFC,OFC,S1C,STC,V1C,VFC
1.3806625,1.2010675,1.295475,1.200502,1.9331665,1.573283,1.4252335,1.781332,1.6035425,1.704482,1.5081225
17.548199,16.221804,16.727967,17.072248,16.207587,15.4350605,15.2178325,18.931769,17.6764775,16.9791935,15.7902465
8.4253195,6.5334415,7.5599295,6.1238055,5.613981,6.929296,6.700146,7.485246,5.534628,5.407688,6.037974
14.029038,11.082353,12.2680805,8.397672,17.0481115,12.2110105,12.9606825,18.6548335,11.943528,12.1743825,13.718644
12.646352,13.5320675,13.8190495,13.9524305,11.691187,13.723245,11.4970385,11.690537,13.696724,8.4930015,13.415215
12.6918475,16.3083095,13.3055715,12.74958,12.974695,18.359551,15.33878,13.118326,9.73534,13.824263,13.9576465
4.6536755,5.303506,4.624686,7.0727735,3.8644465,6.213984,4.4172095,5.735365,4.90353,8.0204195,4.4289685
0.4655715,0.4729855,0.355058,0.4025845,0.8546925,0.795622,0.445015,0.5998675,0.2814965,0.85925,0.450726
0.0153465,0.0079975,0.037198,0.036988,0.085466,0.026367,0.0123985,0.020624,0.0272935,0.0111925,0.021157
12.6301145,12.9464945,10.8657335,10.329408,12.1953725,12.4373795,14.422009,12.983842,15.3032665,15.300316,13.0153215
14.2007815,15.6827015,13.675633,15.2262735,14.5588295,14.708971,15.692935,14.5619345,19.3009,16.522772,15.027037
0.951569,0.602817,0.833201,0.636382,0.8699405,0.9908635,0.6600645,1.0679825,1.1082675,0.536563,0.6819
6.558162,6.5233395,6.947963,5.23872,6.1278245,6.744135,6.377384,6.1477135,6.112348,5.7835385,5.892382
0.1147795,0.4253875,0.1046475,0.190792,0.3034025,0.268676,0.2533865,0.2927685,0.3794455,0.339629,0.095467
55.430125,75.71731,71.1634425,60.2757645,66.1623125,82.946965,52.52514,69.366446,64.151579,127.2962735,61.230452
10.751256,8.2986085,11.0103625,9.763166,9.6583735,9.0187805,6.8915615,12.4228295,9.085646,7.8248585,9.170889
1.4554025,1.873916,1.229275,1.5560705,3.1672425,2.2060425,1.81998,2.3954915,1.8236195,2.090065,1.7169455
2.95398,2.909374,2.1640285,1.6877505,4.7565575,2.9832755,2.694883,4.289813,2.831746,3.6863495,3.4303845
2.6535495,4.130008,3.1516035,5.5035585,5.40901,6.2541135,4.147585,5.32812,4.877264,6.4280105,4.2008985
68.0187885,65.9907385,76.5307865,82.6795945,64.366566,59.6545925,54.236049,63.138618,83.8060165,54.581655,62.517743
19.8049945,21.272234,20.629277,24.508793,21.0261265,21.2084905,19.709444,19.584447,21.032353,18.2198855,21.70724
18.7505125,17.6941425,18.1361545,20.142387,14.2982005,19.302409,14.896515,18.89072,16.510806,13.332308,18.241277
10.526205,10.020764,11.201344,10.527837,7.9049205,9.88033,8.4270675,9.2092525,7.512084,7.701637,8.7788495
